",""text"",""favorited"",""favoriteCount"",""replyToSN"",""created"",""truncated"",""replyToSID"",""id"",""replyToUID"",""statusSource"",""screenName"",""retweetCount"",""isRetweet"",""retweeted"",""longitude"",""latitude""";;;
"18,""Im pretty sure @DanRather and Brian Williams are laughing at the Matt Lauer situation saying were not so mad now https://t.co/ccwpfqJpcx"",FALSE,0,NA,""11/29/17 23:57"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""frozenjo"",1,FALSE,FALSE,NA,NA";;;
"19,""Aint trying to start nothing but wouldnt it be something if white men started a #MeToo campaign against racist wh https://t.co/BbUHRSl1z0"",FALSE,1,NA,""11/29/17 23:57"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""num1_fan"",0,FALSE,FALSE,NA,NA";;;
"20,""How can @realDonaldTrump talk about anyone that has been accused of sexual harassment? Hasnt he been accused of it https://t.co/knKRmb3Cnw"",FALSE,0,NA,""11/29/17 23:57"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""DougsMom204"",0,FALSE,FALSE,NA,NA";;;
"21,""Yes!! WHEN it happens to you, THEN you can decide how you can handle it, until then, hush it! #SupportSurvivors https://t.co/Kn7UYcz2Tn"",FALSE,2,NA,""11/29/17 23:57"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""page_lie"",0,FALSE,FALSE,NA,NA";;;
"22,""@CNN Read: """"we must destroy the oppressive patriarchy at all cost."""" #MeToo"",FALSE,0,""CNN"",""11/29/17 23:57"",FALSE,9.36e+17,9.36e+17,759251,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""VirginiusPrimus"",0,FALSE,FALSE,NA,NA";;;
"23,""@SaveUSA1776 Until I learned he did, I don't like any men that abuse women.";;;
I love my man;;;
"#MeToo"",FALSE,0,""SaveUSA1776"",""11/29/17 23:57"",FALSE,9.36e+17,9.36e+17,208822341,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""1mimi4ever"",0,FALSE,FALSE,NA,NA";;;
"24,""men all over this country are seeking ways to hide their money...news flash...the woman who reported #MattLauer did https://t.co/QcUPYXpsrK"",FALSE,1,NA,""11/29/17 23:56"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""justshocked"",1,FALSE,FALSE,NA,NA";;;
"25,""@RealDonaldTrump How Much Did @JakeTapper thetool Know Of #SexualAbuse On @TheLeadCNN. When Did He Know It? https://t.co/PV6HKsdriX"",FALSE,1,""realDonaldTrump"",""11/29/17 23:56"",TRUE,NA,9.36e+17,25073877,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""ProphetPhella"",0,FALSE,FALSE,NA,NA";;;
"26,""Geraldo Rivera says """"news is a flirty business."""" #MattLauer #NoMoore #MeToo #WomenResist #RWU https://t.co/3iBw7zmCdc"",FALSE,2,NA,""11/29/17 23:56"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""womanontheleft"",0,FALSE,FALSE,NA,NA";;;
"27,""Political men: it is only a matter of time. #Metoo https://t.co/mX0l1mo6KX"",FALSE,54,NA,""11/29/17 23:56"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""JessLivMo"",13,FALSE,FALSE,NA,NA";;;
"28,""How do you reconcile your love of someone if they commit an act of sexual assault or harassment? #AbLeg https://t.co/C9fH5c8dee"",FALSE,6,NA,""11/29/17 23:56"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""JC4ever"",3,FALSE,FALSE,NA,NA";;;
"29,""I was patting my cat when she left my laps suddenly and I heard her say #metoo metoo -In fact it was miaow miaow...";;;
;;;
"#UnsealTheDeals"",FALSE,0,NA,""11/29/17 23:56"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""european_4"",0,FALSE,FALSE,NA,NA";;;
"30,""Kathleen Kane: The Rise and Fall | Philadelphia Magazine https://t.co/AzTvGwbiIP via @phillymag";;;
"#metoo"",FALSE,0,NA,""11/29/17 23:55"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""collegeclasses5"",0,FALSE,FALSE,NA,NA";;;
"31,""Geraldo Rivera...";;;
;;;
Me thinks you're next buddy;;;
;;;
"#MattLaurer #FoxNews #Geraldo #MeToo https://t.co/BOHO8NTs1j"",FALSE,2,NA,""11/29/17 23:55"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""BRellator"",0,FALSE,FALSE,NA,NA";;;
"32,""@btweet2all @TIME Agree.  They see trying to be careful since WE ARE EMPOWERED AND SPEAKING. About time!!! #metoo"",FALSE,1,""btweet2all"",""11/29/17 23:55"",FALSE,9.36e+17,9.36e+17,53683008,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""genesis427427"",0,FALSE,FALSE,NA,NA";;;
"33,""And @headhntr freaking CONFESSED online last week, but he still hasnt been arrested, so you know justice &amp";" all tha https://t.co/0yQyf3dzeT"",FALSE,1,NA,""11/29/17 23:55"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""page_lie"",0,FALSE,FALSE,NA,NA";;
"34,""The bad behavior getting exposed in Hollywood isn't limited to L.A.";;;
"Even bottom-dwelling losers whose films never g https://t.co/hAb3QPiD6x"",FALSE,2,NA,""11/29/17 23:55"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""J_R_Kestner"",0,FALSE,FALSE,NA,NA";;;
"35,""8. But how soon before this snowball of sexual shit leaves the lefty media (and politicians of all sides) and start https://t.co/G4Y3TV5hdi"",FALSE,29,""ThalesLives"",""11/29/17 23:55"",TRUE,9.36e+17,9.36e+17,2950103931,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""ThalesLives"",5,FALSE,FALSE,NA,NA";;;
"36,""@GeraldoRivera Geraldo, can U say Bette Midler? U R no different than some of ur buddies. #metoo"",FALSE,0,""GeraldoRivera"",""11/29/17 23:55"",FALSE,9.36e+17,9.36e+17,246500501,""<a href=""""http://www.twitter.com"""" rel=""""nofollow"""">Twitter for Windows</a>"",""nvygrl1"",0,FALSE,FALSE,NA,NA";;;
"37,""Is it ever appropriate to yell show us your tits on TV to a reporter? ";;;
;;;
